numero_associado,nome,endereco,telefone,nivel_jogo,chave_nacao,id,arbitro
,Ferenc Berkes,"211 Willow Avenue, Nonexistentcity, Nonexistentstate, 87654",555-678-9012,0,Hungary,,TRUE
,Yuriy Kuzubov,"322 Sycamore Boulevard, Dummytown, Dummystate, 76543",555-345-6789,0,Ukraine,,FALSE
,Peter Leko,"433 Juniper Drive, Phonyville, Phonystate, 65432",555-901-2345,0,Hungary,,TRUE
,Zoltan Almasi,"544 Magnolia Court, Boguscity, Bogusstate, 54321",555-456-7890,0,Hungary,,FALSE
,Baadur Jobava,"655 Redwood Lane, Pretendtown, Pretendstate, 43210",555-789-0123,0,Georgia,,FALSE
,Liviu-Dieter Nisipeanu,"766 Ash Street, Imitationville, Imitationstate, 32109",555-123-4567,0,Germany,,TRUE
,Judit Polgar,"877 Chestnut Avenue, Imaginarycity, Imaginarystate, 21098",555-987-6543,0,Hungary,,TRUE
,Saleh Salem,"988 Poplar Road, Fantasytown, Fantasystate, 10987",555-789-0123,0,United Arab Emirates,,FALSE
,Alexei Shirov,"199 Cypress Drive, Makebelieveville, Makebelievestate, 9876",555-456-7890,0,Spain,,TRUE
,Rinat Jumabayev,"210 Willow Avenue, Nonexistentcity, Nonexistentstate, 98765",555-321-0987,0,Kazakhstan,,FALSE
,Gabriel Sargissian,"321 Sycamore Boulevard, Dummytown, Dummystate, 87654",555-876-5432,0,Armenia,,TRUE
,Alexander Motylev,"432 Juniper Drive, Phonyville, Phonystate, 76543",555-234-5678,0,Russia,,TRUE
,Tigran L Petrosian,"543 Magnolia Court, Boguscity, Bogusstate, 65432",555-890-1234,0,Armenia,,FALSE
,Samuel Shankland,"654 Redwood Lane, Pretendtown, Pretendstate, 54321",555-567-8901,0,United States,,FALSE
,Aleksandr Rakhmanov,"765 Ash Street, Imitationville, Imitationstate, 43210",555-012-3456,0,Russia,,TRUE
,Surya Shekhar Ganguly,"876 Chestnut Avenue, Imaginarycity, Imaginarystate, 32109",555-678-9012,0,India,,TRUE
,Romain Edouard,"987 Poplar Road, Fantasytown, Fantasystate, 21098",555-345-6789,0,France,,TRUE
,Evgeniy Najer,"913 Poplar Road, Fantasytown, Fantasystate, 65432",555-901-2345,0,Russia,,FALSE
,Li Chao,"124 Cypress Drive, Makebelieveville, Makebelievestate, 54321",555-456-7890,0,Bahrain,,TRUE
,Le Quang Liem,"235 Willow Avenue, Nonexistentcity, Nonexistentstate, 43210",555-789-0123,0,Vietnam,,FALSE
,Salem A.R. Saleh,"346 Sycamore Boulevard, Dummytown, Dummystate, 32109",555-123-4567,0,United Arab Emirates,,FALSE
,Christian Bauer,"457 Juniper Drive, Phonyville, Phonystate, 21098",555-987-6543,0,France,,FALSE
,Nikita Petrov,"568 Magnolia Court, Boguscity, Bogusstate, 10987",555-789-0123,0,Russia,,FALSE
,Nidjat Mamedov,"679 Redwood Lane, Pretendtown, Pretendstate, 9876",555-456-7890,0,Azerbaijan,,TRUE
,Mustafa Yilmaz,"780 Ash Street, Imitationville, Imitationstate, 98765",555-321-0987,0,Turkey,,TRUE
,Vladimir Akopian,"891 Chestnut Avenue, Imaginarycity, Imaginarystate, 87654",555-876-5432,0,Armenia,,FALSE
,S.P. Sethuraman,"902 Poplar Road, Fantasytown, Fantasystate, 76543",555-234-5678,0,India,,TRUE
,Jorge Cori,"113 Cypress Drive, Makebelieveville, Makebelievestate, 65432",555-890-1234,0,Peru,,TRUE
,Nguyen Ngoc Truong Son,"224 Willow Avenue, Nonexistentcity, Nonexistentstate, 54321",555-567-8901,0,Vietnam,,TRUE
,Deep Sengupta,"335 Sycamore Boulevard, Dummytown, Dummystate, 43210",555-012-3456,0,India,,FALSE
,Anatoly Karpov,"446 Juniper Drive, Phonyville, Phonystate, 32109",555-678-9012,0,Russia,,FALSE
,Julio Ernesto Granda Zuniga,"557 Magnolia Court, Boguscity, Bogusstate, 21098",555-345-6789,0,Peru,,FALSE
,Wei Yi,"668 Redwood Lane, Pretendtown, Pretendstate, 10987",555-901-2345,0,China,,TRUE
,Denis Khismatullin,"779 Ash Street, Imitationville, Imitationstate, 9876",555-456-7890,0,Russia,,TRUE
,Amin Bassem,"880 Chestnut Avenue, Imaginarycity, Imaginarystate, 98765",555-789-0123,0,Egypt,,FALSE
,Dariusz Swiercz,"991 Poplar Road, Fantasytown, Fantasystate, 87654",555-123-4567,0,Poland,,TRUE
,Pentala Harikrishna,"102 Cypress Drive, Makebelieveville, Makebelievestate, 76543",555-987-6543,0,India,,FALSE
,Aleksandr Predke,"213 Willow Avenue, Nonexistentcity, Nonexistentstate, 65432",555-789-0123,0,Russia,,TRUE
,Ivan Cheparinov,"324 Sycamore Boulevard, Dummytown, Dummystate, 54321",555-456-7890,0,Bulgaria,,TRUE
,Le Quang Liem,"435 Juniper Drive, Phonyville, Phonystate, 43210",555-321-0987,0,Vietnam,,FALSE
,Sergei Zhigalko,"546 Magnolia Court, Boguscity, Bogusstate, 32109",555-876-5432,0,Belarus,,FALSE
,Sanan Sjugirov,"657 Redwood Lane, Pretendtown, Pretendstate, 21098",555-234-5678,0,Russia,,TRUE
,Liem Quang Le,"768 Ash Street, Imitationville, Imitationstate, 10987",555-890-1234,0,Vietnam,,TRUE
,Karen Grigoryan,"991 Poplar Road, Fantasytown, Fantasystate, 87654",555-012-3456,0,Armenia,,TRUE
,Alexandr Fier,"102 Cypress Drive, Makebelieveville, Makebelievestate, 76543",555-678-9012,0,Brazil,,FALSE
